pu_weight_nominal,pu_weight_down,pu_weight_up
0.366077,0.380675,0.356011
0.893925,1.164965,0.690003
1.197716,1.265627,1.127090
0.962699,1.111375,0.836982
1.120976,1.262993,1.011672
1.164859,1.290999,1.039095
0.795599,0.936149,0.720703
0.495824,0.798689,0.339115
0.742182,1.130589,0.483342
0.878856,1.390219,0.584547
0.964232,1.542416,0.610261
1.072499,1.574103,0.708232
1.125335,1.534121,0.805109
1.176027,1.532817,0.891936
1.202083,1.525233,0.941170
1.207643,1.464280,0.970850
1.200176,1.381714,1.009165
1.182682,1.308356,1.041019
1.143998,1.234372,1.042397
1.096632,1.171836,1.020997
1.065602,1.130193,1.000466
1.051166,1.092821,0.993241
1.051600,1.063882,1.010937
1.050630,1.037924,1.035254
1.049862,1.015380,1.057806
1.058173,1.000200,1.086859
1.072155,0.989182,1.123708
1.083030,0.975134,1.160085
1.095693,0.960878,1.199686
1.107871,0.942058,1.240943
1.094621,0.897851,1.258119
1.082620,0.853186,1.282543
1.041247,0.786621,1.276707
0.985752,0.712954,1.254458
0.910807,0.629623,1.204819
0.820923,0.540522,1.129953
0.716787,0.446713,1.028372
0.610013,0.356539,0.915364
0.503118,0.272696,0.794263
0.404841,0.201062,0.677935
0.309195,0.139073,0.554631
0.227920,0.091848,0.442505
0.163690,0.058531,0.347456
0.113180,0.035602,0.265129
0.077300,0.021229,0.201535
0.050922,0.012131,0.148880
0.031894,0.006557,0.105273
0.020094,0.003557,0.075319
0.012263,0.001875,0.052453
0.007426,0.000997,0.036361
0.004380,0.000541,0.024546
0.002608,0.000330,0.016603
0.001566,0.000244,0.011065
0.000971,0.000228,0.007185
0.000729,0.000280,0.005012
0.000673,0.000389,0.003594
0.000730,0.000536,0.002586
0.000949,0.000772,0.002150
0.001355,0.001134,0.002173
0.001894,0.001577,0.002494
0.003082,0.002519,0.003733
0.004097,0.003268,0.004849
0.004874,0.003788,0.005798
0.005256,0.003972,0.006355
0.005785,0.004248,0.007145
0.005515,0.003932,0.006974
0.005000,0.003459,0.006483
0.004410,0.002957,0.005867
0.004012,0.002606,0.005482
0.003548,0.002230,0.004980
0.003108,0.001890,0.004486
0.002702,0.001589,0.004013
0.002337,0.001327,0.003573
0.002025,0.001110,0.003190
0.001723,0.000911,0.002798
